make;fuel-type;aspiration;body-style;drive-wheels;engine-location;num-of-cylinders
alfa-romero;gas;std;convertible;rwd;front;four
alfa-romero;gas;std;convertible;rwd;front;four
alfa-romero;gas;std;hatchback;rwd;front;six
audi;gas;std;sedan;fwd;front;four
audi;gas;std;sedan;4wd;front;five
audi;gas;std;sedan;fwd;front;five
audi;gas;std;sedan;fwd;front;five
audi;gas;std;wagon;fwd;front;five
audi;gas;turbo;sedan;fwd;front;five
bmw;gas;std;sedan;rwd;front;four
bmw;gas;std;sedan;rwd;front;four
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
bmw;gas;std;sedan;rwd;front;six
chevrolet;gas;std;hatchback;fwd;front;three
chevrolet;gas;std;hatchback;fwd;front;four
chevrolet;gas;std;sedan;fwd;front;four
dodge;gas;std;hatchback;fwd;front;four
dodge;gas;std;hatchback;fwd;front;four
dodge;gas;turbo;hatchback;fwd;front;four
dodge;gas;std;hatchback;fwd;front;four
dodge;gas;std;sedan;fwd;front;four
dodge;gas;std;sedan;fwd;front;four
dodge;gas;turbo;sedan;fwd;front;four
dodge;gas;std;wagon;fwd;front;four
dodge;gas;turbo;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;sedan;fwd;front;four
honda;gas;std;wagon;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;hatchback;fwd;front;four
honda;gas;std;sedan;fwd;front;four
honda;gas;std;sedan;fwd;front;four
honda;gas;std;sedan;fwd;front;four
honda;gas;std;sedan;fwd;front;four
isuzu;gas;std;sedan;rwd;front;four
isuzu;gas;std;hatchback;rwd;front;four
jaguar;gas;std;sedan;rwd;front;six
jaguar;gas;std;sedan;rwd;front;six
jaguar;gas;std;sedan;rwd;front;twelve
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;sedan;fwd;front;four
mazda;gas;std;sedan;fwd;front;four
mazda;gas;std;hatchback;rwd;front;two
mazda;gas;std;hatchback;rwd;front;two
mazda;gas;std;hatchback;rwd;front;two
mazda;gas;std;hatchback;rwd;front;two
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;sedan;fwd;front;four
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;sedan;fwd;front;four
mazda;diesel;std;sedan;fwd;front;four
mazda;gas;std;hatchback;fwd;front;four
mazda;gas;std;sedan;rwd;front;four
mazda;diesel;std;sedan;rwd;front;four
mercedes-benz;diesel;turbo;sedan;rwd;front;five
mercedes-benz;diesel;turbo;wagon;rwd;front;five
mercedes-benz;diesel;turbo;hardtop;rwd;front;five
mercedes-benz;diesel;turbo;sedan;rwd;front;five
mercedes-benz;gas;std;sedan;rwd;front;eight
mercedes-benz;gas;std;convertible;rwd;front;eight
mercedes-benz;gas;std;sedan;rwd;front;eight
mercedes-benz;gas;std;hardtop;rwd;front;eight
mercury;gas;turbo;hatchback;rwd;front;four
mitsubishi;gas;std;hatchback;fwd;front;four
mitsubishi;gas;std;hatchback;fwd;front;four
mitsubishi;gas;std;hatchback;fwd;front;four
mitsubishi;gas;turbo;hatchback;fwd;front;four
mitsubishi;gas;turbo;hatchback;fwd;front;four
mitsubishi;gas;std;hatchback;fwd;front;four
mitsubishi;gas;turbo;hatchback;fwd;front;four
mitsubishi;gas;turbo;hatchback;fwd;front;four
mitsubishi;gas;turbo;hatchback;fwd;front;four
mitsubishi;gas;std;sedan;fwd;front;four
mitsubishi;gas;std;sedan;fwd;front;four
mitsubishi;gas;turbo;sedan;fwd;front;four
mitsubishi;gas;std;sedan;fwd;front;four
nissan;gas;std;sedan;fwd;front;four
nissan;diesel;std;sedan;fwd;front;four
nissan;gas;std;sedan;fwd;front;four
nissan;gas;std;sedan;fwd;front;four
nissan;gas;std;wagon;fwd;front;four
nissan;gas;std;sedan;fwd;front;four
nissan;gas;std;hatchback;fwd;front;four
nissan;gas;std;sedan;fwd;front;four
nissan;gas;std;wagon;fwd;front;four
nissan;gas;std;hardtop;fwd;front;four
nissan;gas;std;hatchback;fwd;front;four
nissan;gas;std;sedan;fwd;front;four
nissan;gas;std;sedan;fwd;front;six
nissan;gas;std;wagon;fwd;front;six
nissan;gas;std;sedan;fwd;front;six
nissan;gas;std;hatchback;rwd;front;six
nissan;gas;turbo;hatchback;rwd;front;six
nissan;gas;std;hatchback;rwd;front;six
peugot;gas;std;sedan;rwd;front;four
peugot;diesel;turbo;sedan;rwd;front;four
peugot;gas;std;wagon;rwd;front;four
peugot;diesel;turbo;wagon;rwd;front;four
peugot;gas;std;sedan;rwd;front;four
peugot;diesel;turbo;sedan;rwd;front;four
peugot;gas;std;wagon;rwd;front;four
peugot;diesel;turbo;wagon;rwd;front;four
peugot;gas;std;sedan;rwd;front;four
peugot;diesel;turbo;sedan;rwd;front;four
peugot;gas;turbo;sedan;rwd;front;four
plymouth;gas;std;hatchback;fwd;front;four
plymouth;gas;turbo;hatchback;fwd;front;four
plymouth;gas;std;hatchback;fwd;front;four
plymouth;gas;std;sedan;fwd;front;four
plymouth;gas;std;sedan;fwd;front;four
plymouth;gas;std;wagon;fwd;front;four
plymouth;gas;turbo;hatchback;rwd;front;four
porsche;gas;std;hatchback;rwd;front;four
porsche;gas;std;hardtop;rwd;rear;six
porsche;gas;std;hardtop;rwd;rear;six
porsche;gas;std;convertible;rwd;rear;six
renault;gas;std;wagon;fwd;front;four
renault;gas;std;hatchback;fwd;front;four
saab;gas;std;hatchback;fwd;front;four
saab;gas;std;sedan;fwd;front;four
saab;gas;std;hatchback;fwd;front;four
saab;gas;std;sedan;fwd;front;four
saab;gas;turbo;hatchback;fwd;front;four
saab;gas;turbo;sedan;fwd;front;four
subaru;gas;std;hatchback;fwd;front;four
subaru;gas;std;hatchback;fwd;front;four
subaru;gas;std;hatchback;4wd;front;four
subaru;gas;std;sedan;fwd;front;four
subaru;gas;std;sedan;fwd;front;four
subaru;gas;std;sedan;fwd;front;four
subaru;gas;std;sedan;4wd;front;four
subaru;gas;turbo;sedan;4wd;front;four
subaru;gas;std;wagon;fwd;front;four
subaru;gas;std;wagon;fwd;front;four
subaru;gas;std;wagon;4wd;front;four
subaru;gas;turbo;wagon;4wd;front;four
toyota;gas;std;hatchback;fwd;front;four
toyota;gas;std;hatchback;fwd;front;four
toyota;gas;std;hatchback;fwd;front;four
toyota;gas;std;wagon;fwd;front;four
toyota;gas;std;wagon;4wd;front;four
toyota;gas;std;wagon;4wd;front;four
toyota;gas;std;sedan;fwd;front;four
toyota;gas;std;hatchback;fwd;front;four
toyota;diesel;std;sedan;fwd;front;four
toyota;diesel;std;hatchback;fwd;front;four
toyota;gas;std;sedan;fwd;front;four
toyota;gas;std;hatchback;fwd;front;four
toyota;gas;std;sedan;fwd;front;four
toyota;gas;std;sedan;rwd;front;four
toyota;gas;std;hatchback;rwd;front;four
toyota;gas;std;sedan;rwd;front;four
toyota;gas;std;hatchback;rwd;front;four
toyota;gas;std;hardtop;rwd;front;four
toyota;gas;std;hardtop;rwd;front;four
toyota;gas;std;hatchback;rwd;front;four
toyota;gas;std;hardtop;rwd;front;four
toyota;gas;std;hatchback;rwd;front;four
toyota;gas;std;convertible;rwd;front;four
toyota;gas;std;sedan;fwd;front;four
toyota;diesel;turbo;sedan;fwd;front;four
toyota;gas;std;hatchback;fwd;front;four
toyota;gas;std;sedan;fwd;front;four
toyota;gas;std;hatchback;fwd;front;four
toyota;gas;std;hatchback;rwd;front;six
toyota;gas;std;hatchback;rwd;front;six
toyota;gas;std;sedan;rwd;front;six
toyota;gas;std;wagon;rwd;front;six
volkswagen;diesel;std;sedan;fwd;front;four
volkswagen;gas;std;sedan;fwd;front;four
volkswagen;diesel;std;sedan;fwd;front;four
volkswagen;gas;std;sedan;fwd;front;four
volkswagen;gas;std;sedan;fwd;front;four
volkswagen;diesel;turbo;sedan;fwd;front;four
volkswagen;gas;std;sedan;fwd;front;four
volkswagen;gas;std;convertible;fwd;front;four
volkswagen;gas;std;hatchback;fwd;front;four
volkswagen;gas;std;sedan;fwd;front;five
volkswagen;diesel;turbo;sedan;fwd;front;four
volkswagen;gas;std;wagon;fwd;front;four
volvo;gas;std;sedan;rwd;front;four
volvo;gas;std;wagon;rwd;front;four
volvo;gas;std;sedan;rwd;front;four
volvo;gas;std;wagon;rwd;front;four
volvo;gas;turbo;sedan;rwd;front;four
volvo;gas;turbo;wagon;rwd;front;four
volvo;gas;std;sedan;rwd;front;four
volvo;gas;turbo;sedan;rwd;front;four
volvo;gas;std;sedan;rwd;front;six
volvo;diesel;turbo;sedan;rwd;front;six
volvo;gas;turbo;sedan;rwd;front;four
